date,regime,gross_return,transaction_cost,turnover,portfolio_return,w_BIL,w_DBC,w_EEM,w_EFA,w_GLD,w_IEF,w_SPY,w_TLT,w_VNQ
2012-01-31,2,0.024091133887863984,0.0,,0.024091133887863984,0.2,0.022231785236002072,0.0176159454666809,0.02329061142356239,0.10655388780338174,0.2016398317742884,0.07350777511480723,0.2950366810886302,0.060123482092647125
2012-02-29,2,-0.0023102214835542985,0.00014206921865958974,0.14206921865958974,-0.0024522907022138884,0.2,0.03692464609033387,0.03341188095527061,0.04597036722356639,0.07638106083004066,0.1853935121855408,0.08660751585726889,0.27042121832092403,0.06488979853705486
2012-03-31,2,-0.007343074517282815,0.00017379109907833854,0.17379109907833853,-0.007516865616361154,0.19999999999999998,0.05709131591978858,0.048831831642453145,0.06802453248374196,0.06307493739729846,0.1729723611651059,0.10097409760826448,0.20925294323493185,0.07977798054841569
2012-04-30,0,0.007876801930780363,0.0006063457282955357,0.6063457282955357,0.007270456202484827,0.31399440935192363,0.025691092163904854,0.02197432423910391,0.08369606883413293,0.028383721828784295,0.07783756252429765,0.17932872778224745,0.09416382445571929,0.17493026881988588
2012-05-31,2,-0.0038745223931360437,0.00039546077926560017,0.39546077926560014,-0.004269983172401644,0.2512974842083656,0.025522584440733756,0.01968815245625858,0.054256867283265474,0.03828316875621964,0.15756713982328274,0.12720016186791472,0.20226518986209888,0.12391925130186045
2012-06-30,2,0.010294854145180466,0.00017501862473796943,0.17501862473796942,0.010119835520442497,0.22308386789376455,0.022870648923076685,0.0196731363513183,0.04129929771429086,0.04605949822299216,0.19011723859049076,0.10453040981923908,0.24944807399710311,0.10291782848772445
2012-07-31,2,0.018349247974789505,9.546961563849806e-05,0.09546961563849805,0.018253778359151006,0.21038774055219406,0.025796519354106796,0.01753676468478226,0.034107177079088724,0.04500608488981632,0.20466898257368787,0.09251287299735841,0.2797052674021249,0.09027859046684061
2012-08-31,0,0.0019190529189885132,0.0005582535960470436,0.5582535960470436,0.0013607993229414696,0.11117448324848732,0.011608433709348057,0.007891544108152015,0.015348229685589944,0.020252738200417408,0.09210104215815954,0.15141575213875286,0.29584546273552426,0.29436231401556867
2012-09-30,0,0.003069620860034391,0.0005527346516178361,0.5527346516178361,0.0025168862084165547,0.06652851746181929,0.005223795169206629,0.0035511948486684403,0.006906703358515474,0.1622717885843091,0.04144546897117179,0.24627708688273808,0.33533240341656534,0.1324630413070059
2012-10-31,0,-0.011931324528953069,0.0005698174940838795,0.5698174940838795,-0.012501142023036949,0.16688770046611154,0.0023507078261429826,0.0015980376819008497,0.09785088050711095,0.21851760224019193,0.01865046103702746,0.28363666011590727,0.1508995815374544,0.059608368588152674
2012-11-30,0,0.009512941914953589,0.0007051751005563902,0.7051751005563902,0.008807766814397199,0.23519587241655407,0.001057818521764342,0.15914586886142926,0.22458242765533507,0.1492602304695734,0.008392707466662357,0.1276364970521583,0.06790481169185447,0.026823765864668697
2012-12-31,0,0.02715952078973844,0.0003441879431355232,0.3441879431355232,0.026815332846602917,0.244691316158908,0.028441003404648443,0.2427729571145134,0.2761706823447745,0.06716710371130802,0.0037767183599980605,0.09435235900541403,0.03055716526133451,0.012070694639101041
2013-01-31,0,0.017323020814265202,0.00022968326913406085,0.22968326913406084,0.01709333754513114,0.20795665854889195,0.0127984515320918,0.28526973809207523,0.31781179613692556,0.030225196670088605,0.0016995232619991271,0.12505609880273158,0.013750724367600529,0.005431812587595659
